gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Gene_0146,115.75,-1.8554,0.2493,0.019385687928919208,0.6593771404394289
Gene_0147,97.24,-1.9807,0.2743,0.17640978671595922,1.0
Gene_0148,660.65,0.7829,0.2692,0.006267872044119662,0.2103312766483108
Gene_0149,284.62,0.4455,0.1758,0.004148682896749271,0.13828942989164236
Gene_0150,14067.9,0.3757,0.3877,0.020117842610190558,0.6661537288142569
Gene_0151,26.99,0.5197,0.2554,1.213788347309815e-07,3.992724826677023e-06
Gene_0152,418.3,-1.02,0.2132,0.5773624477191744,1.0
Gene_0153,51.5,0.3484,0.7299,6.95149683578705e-05,0.002256979492138653
Gene_0154,26.09,0.4396,0.1847,0.0021670820053014133,0.06990587113875527
Gene_0155,145.22,-1.0715,0.2912,1.8696678097517426e-05,0.0005992525031255585
Gene_0156,195.33,2.7987,0.0699,0.0007514543449994048,0.023931667038197605
Gene_0157,50835.34,0.7107,0.4254,9.346889562907324e-06,0.0002957876443958014
Gene_0158,102.69,1.9274,0.2718,0.0063806038141354885,0.20064791868350593
Gene_0159,15.48,0.9848,0.3817,0.0008678371237468676,0.027119910117089613
Gene_0160,256.22,-1.462,0.2057,0.00037132452778542086,0.011531817633087605
Gene_0161,2.34,1.1806,0.1384,3.680218919476268e-05,0.0011358700368753914
MYC,123.48,1.8819,0.2254,0.001255860686267587,0.03852333393458856
Gene_0163,153.25,-1.231,0.4345,0.09836093377447756,1.0
Gene_0164,727.2,-2.248,0.3577,0.00495852877455615,0.15025844771382274
Gene_0165,1040.28,0.6192,0.1384,0.0028379484706579157,0.08548037562222638
Gene_0166,54.21,1.2331,0.058,0.09357907022400841,1.0
Gene_0167,109.81,2.8452,0.2679,0.007654403245215387,0.2278096203933151
Gene_0168,32.06,-0.3681,0.4092,0.1563400836037708,1.0
Gene_0169,15.55,-1.1306,0.2241,0.09993652148718893,1.0
Gene_0170,275.83,-1.3343,0.4076,0.0003430544030736271,0.010030830499228862
Gene_0171,11.62,-1.2237,0.3127,2.3598530782755691e-07,6.860038018242933e-06
Gene_0172,64.76,-0.1157,0.4753,0.047446073046973444,1.0
Gene_0173,20.28,0.5117,0.2321,0.001488017723779321,0.04275912999365865
Gene_0174,445.58,0.415,0.294,0.009652107794085945,0.27577450840245554
Gene_0175,5447.22,1.2408,0.2345,4.7531765142321026e-05,0.0013503342369977564
Gene_0176,10.99,0.0195,0.3985,2.5234194829829902e-08,7.128303624245735e-07
Gene_0177,3.65,2.1803,0.3591,0.04302610605324641,1.0
Gene_0178,115.61,-0.397,0.1302,0.011583000346471783,0.3235474957115023
Gene_0179,153.15,4.0803,0.3692,0.00391747231406041,0.10881867539056693
Gene_0180,229.83,0.9385,0.1511,4.479975940275463e-05,0.0012375624144407356
Gene_0181,60.79,-1.2857,0.2089,0.0008356663691248771,0.02295786728365047
Gene_0182,99.36,-1.6063,0.3746,0.03243134684907479,0.8861023729255406
Gene_0183,309.52,0.7237,0.1746,0.07435130997024582,1.0
Gene_0184,1188.99,-0.3352,0.2629,0.2997224109703395,1.0
Gene_0185,2.97,1.071,0.3759,0.006875408546987857,0.18482281040289938
Gene_0186,70.96,0.7099,0.3415,0.0028985309627429096,0.07750082788082646
Gene_0187,227.61,-0.1092,0.3357,0.3894469774295141,1.0
Gene_0188,23.67,-1.2702,0.3792,0.0032815151377638867,0.08681256978211341
Gene_0189,4733.12,-2.2723,0.4307,0.08076523488831397,1.0
Gene_0190,41.64,-0.6698,0.1759,0.18188835883429788,1.0
Gene_0191,136.65,4.9519,0.3333,0.004313493778663323,0.1123305671526907
Gene_0192,451.26,0.3211,0.3965,0.00416141336785349,0.10780863647288834
Gene_0193,45.49,-1.8686,0.3768,0.0008160453885394908,0.02103209764277038
Gene_0194,3.69,0.2598,0.2841,0.010622972252590079,0.2723839039125661
Gene_0195,62.97,0.578,0.2783,0.011652874604142022,0.2972672092893373
Gene_0196,1163.14,-1.3258,0.3824,0.2576645246142041,1.0
Gene_0197,75.66,0.2306,0.3214,0.1556544233732062,1.0
Gene_0198,27.31,0.0873,0.4094,0.01686349856352859,0.42370599405850723
Gene_0199,945.15,-1.7145,0.311,0.00031454506141546647,0.007863626535386662
Gene_0200,76.59,0.5367,0.2626,8.237372478158683e-07,2.049097631382757e-05
Gene_0201,53.5,0.8412,0.1237,4.891569188895655e-08,1.2107844526969443e-06
Gene_0202,200.12,1.6246,0.277,0.2982539536750189,1.0
Gene_0203,693.33,1.5807,0.1769,0.0372180482307494,0.912207064479152
Gene_0204,17386.11,-2.0665,0.117,0.00047589923126578626,0.011607298323555762
Gene_0205,776.25,-1.4067,0.2134,0.0010254701530859377,0.02489005225936742
Gene_0206,1509.72,0.7726,0.3703,0.0002443070176004231,0.005901135690831475
Gene_0207,53.95,0.7707,0.2758,0.0003838383761656434,0.00922688404244335
Gene_0208,19.07,0.7726,0.3178,0.04084624065624456,0.9771827908192477
Gene_0209,168.12,5.7791,0.3674,0.1909813448238802,1.0
Gene_0210,183.89,0.8563,0.2964,0.05399037786814814,1.0
Gene_0211,17.17,1.7033,0.2312,0.04250912756152798,1.0
Gene_0212,104.52,1.431,0.2554,0.01188165660433719,0.2789121268623754
Gene_0213,329.85,0.9771,0.3772,0.03264013713702864,0.7626200265660896
Gene_0214,305.14,-0.4729,0.2974,0.03278795410239154,0.7625105605207335
Gene_0215,406.9,1.1385,0.0456,5.763402493458083e-11,1.3341209475597413e-09
Gene_0216,265.58,-1.1592,0.2647,0.009207683429250034,0.21215860436059986
Gene_0217,53.84,-0.3552,0.3532,0.04702873701814233,1.0
Gene_0218,53.1,-0.728,0.3183,0.11375691206127775,1.0
Gene_0219,13.49,0.1228,0.1979,0.20437229753682998,1.0
Gene_0220,5268.76,3.472,0.2254,0.037592822473823215,0.8505163455616112
Gene_0221,152.46,-2.8009,0.1051,0.014786381317100045,0.333026606240992
Gene_0222,94.66,1.0294,0.3549,0.000414934437782265,0.00930346273054406
Gene_0223,23.16,-2.4191,0.3622,0.004600999467375788,0.10270088096820955
Gene_0224,52644.43,-0.7079,0.2867,0.0005698151888395706,0.012662559751990456
Gene_0225,17.35,1.6334,0.265,0.3410128156564551,1.0
Gene_0226,62.95,0.0964,0.1919,0.07510487289738198,1.0
Gene_0227,340.93,4.5872,0.3332,0.0032911000121863643,0.07217324588127992
Gene_0228,492.96,-1.073,0.1358,0.08444253308706376,1.0
Gene_0229,1008.14,1.0194,0.3777,0.00045794438307925176,0.009955312675635907
Gene_0230,5514.95,-1.0955,0.3579,5.020474354455688e-05,0.0010866827607046944
Gene_0231,408.43,0.3247,0.4168,0.001838789489909642,0.039629083834259525
Gene_0232,17.96,0.0684,0.305,0.006246806783072696,0.13405164770542266
Gene_0233,88.78,-0.9774,0.248,0.2376611175694619,1.0
Gene_0234,274.7,3.2159,0.3432,0.005204167667943933,0.11072697165838155
Gene_0235,9287.75,0.9509,0.3781,6.717156803965584e-05,0.0014231264415181322
Gene_0236,9.06,-3.0377,0.1842,0.04710183394087411,0.99370957681169
Gene_0237,1644.44,0.2797,0.2931,0.0007623061573006403,0.01601483523740841
Gene_0238,212.69,-0.9927,0.3265,0.48063452926043704,1.0
Gene_0239,792.87,1.2787,0.3481,8.721963401645775e-05,0.001817075708676203
Gene_0240,121.03,-1.1888,0.2648,0.08546268414863703,1.0
Gene_0241,27.53,-0.1721,0.3631,0.0975273716972672,1.0
Gene_0242,666.3,0.7575,0.204,0.15849984430898229,1.0
Gene_0243,549.42,1.2986,0.5018,0.010260696211352366,0.21026016826541735
Gene_0244,1037.03,-1.8004,0.2376,8.19747867646411e-05,0.0016729548319314512
Gene_0245,144.52,-0.5018,0.3408,0.0012229494400515534,0.024856695936007183
Gene_0246,44.72,-0.7124,0.2447,0.10603113604717623,1.0
Gene_0247,6.57,-0.98,0.3098,0.20707570241973092,1.0
Gene_0248,764.14,2.6482,0.1921,0.00017559408034053734,0.0035259855490067738
Gene_0249,346.46,0.6075,0.4076,0.005569557872668536,0.1113911574533707
Gene_0250,21.51,-1.8913,0.2183,0.0028789113028957324,0.05734883073497475
Gene_0251,50.54,1.3768,0.3082,0.0006711241768268634,0.013315955889421893
Gene_0252,58.35,3.1832,0.2936,0.001608052872719387,0.031779701041885114
Gene_0253,7.64,1.5487,0.2298,4.911030519663717e-06,9.667382912723852e-05
Gene_0254,28.92,-2.2791,0.0455,0.04860384409995309,0.9530165509794722
Gene_0255,15.37,-0.7264,0.4059,0.015991743455269894,0.31233873936074014
Gene_0256,65.04,1.9004,0.3144,0.0008458958775637125,0.016457118240539154
Gene_0257,33.87,-1.0615,0.126,0.10534847114632322,1.0
Gene_0258,5.73,0.6657,0.1087,0.032805776722392134,0.6333161529419331
Gene_0259,8477.58,1.162,0.2678,0.01392906262000845,0.2678665888463163
Gene_0260,1817.25,-1.3904,0.2918,0.0027960262723568615,0.05356372169266018
Gene_0261,31.25,-0.0893,0.2785,0.0912155204596534,1.0
Gene_0262,255.91,-4.8619,0.4444,0.01126405846087506,0.21414559811549544
Gene_0263,342.04,-1.5366,0.133,0.06393046959609607,1.0
Gene_0264,1607.08,-0.3789,0.3212,0.006643063862647053,0.1253408275971142
Gene_0265,28.87,-1.8717,0.3646,0.027111349265198145,0.5096118282931983
Gene_0266,1318.45,2.4486,0.3624,0.20150252468241237,1.0
Gene_0267,49.61,3.1236,0.3894,0.0023840795851193864,0.044479096737301986
Gene_0268,10.26,-0.6601,0.3117,0.21202394993129334,1.0
Gene_0269,631.61,0.1961,0.3246,0.0014095970516910241,0.026103649105389336
Gene_0270,1961.6,2.1619,0.267,0.0069362325886831565,0.12797477100891433
Gene_0271,26260.41,-2.1538,0.149,0.09755025707617473,1.0
Gene_0272,13.47,1.7447,0.3329,0.07006387722563052,1.0
Gene_0273,600.55,0.0153,0.2597,0.2927104504215089,1.0
Gene_0274,65.39,-1.4723,0.2256,0.0009445896022790264,0.017174356405073206
Gene_0275,711.03,0.6932,0.3372,0.08802119245570925,1.0
Gene_0276,7.84,0.2986,0.3461,0.0008596911856711092,0.015517891438106664
Gene_0277,11.88,-0.9003,0.2294,0.01575675727798715,0.28339491507171133
Gene_0278,31.45,0.1047,0.325,0.00171508098225737,0.03073621832002455
Gene_0279,173.8,-0.578,0.2919,2.905660698511762e-05,0.0005188679818771002
Gene_0280,41.18,0.1703,0.319,0.07615600779196606,1.0
Gene_0281,554.52,0.9932,0.4254,0.37537498163890554,1.0
Gene_0282,1157.24,1.9748,0.3443,0.0007093617944062047,0.012532893894102557
Gene_0283,492.33,-1.8567,0.3367,0.0808244899596124,1.0
Gene_0284,3780.36,3.1996,0.2115,0.014436127238884437,0.2532653901558673
KRAS,340.92,4.2399,0.2256,0.0027783498381829495,0.04857254961858303
Gene_0286,13.02,-0.2277,0.3482,0.0006562819996339139,0.011433484314179685
Gene_0287,2268.23,0.8825,0.1412,0.002480683138110082,0.04306741559218893
Gene_0288,44.24,0.4215,0.2644,0.002645610160127136,0.04577180207832415
Gene_0289,916.75,-0.934,0.2237,5.42426368306482e-05,0.0009352178763904861
Gene_0290,3454.62,-0.3122,0.2858,0.021428860584808272,0.36819348083863007
Gene_0291,369.95,-0.7395,0.2784,0.010805643760615439,0.1850281465858808
Gene_0292,7.45,-0.884,0.3131,0.1050866836644946,1.0
Gene_0293,23.66,1.2744,0.3465,0.014681623399273692,0.24968747277676348
Gene_0294,2091.19,0.5355,0.3967,0.0016649707680754476,0.028219843526702506
Gene_0295,105.82,-1.0394,0.4042,0.18702266517823637,1.0
Gene_0296,174.02,1.3494,0.2763,0.008534862462875333,0.14368455324705948
Gene_0297,676.98,0.4609,0.2409,1.338792975196131e-05,0.0002246296938248542
Gene_0298,597.44,1.2193,0.2212,0.0022921168350631743,0.03832971296092265
Gene_0299,259.2,0.9444,0.2678,0.00597782210994988,0.09963036849916466
Gene_0300,97.77,-1.2435,0.2012,0.0003950484684286598,0.0065622669174195975
Gene_0301,79.41,-0.8403,0.347,0.0015310615961817457,0.025348701923538833
Gene_0302,825.34,1.1209,0.4023,0.01880666865112733,0.310341066850286
Gene_0303,449.05,0.9156,0.1475,0.017887023878047224,0.2941944716784083
Gene_0304,88.71,-0.0314,0.3009,0.374412972877978,1.0
Gene_0305,1292.36,0.176,0.4556,0.0816044267011137,1.0
Gene_0306,114.66,1.9165,0.1518,0.0011046885066341506,0.017991669489155548
Gene_0307,27.02,-0.8874,0.4477,0.0053161390172057794,0.0863009580715224
Gene_0308,32.53,0.8206,0.214,0.00030664930284655,0.004961962829232201
Gene_0309,20.96,-0.3033,0.2393,0.0008793230066193131,0.014182629139021179
Gene_0310,86.07,-0.3265,0.3618,0.006243000823819468,0.10036978816430013
Gene_0311,1750.14,1.6482,0.3508,0.28600753277399027,1.0
Gene_0312,29.66,-2.8748,0.2895,0.004021179802637583,0.06423609908366747
Gene_0313,216.36,1.2203,0.2237,0.0377757744386398,0.6015250706789778
Gene_0314,39.91,1.9582,0.1756,0.002717837581685421,0.04314027907437176
Gene_0315,88.18,0.0315,0.2923,0.026083461174259637,0.4127129932636019
Gene_0316,7.24,1.0229,0.2788,0.016677492407654374,0.2630519307201006
Gene_0317,95.48,-0.4654,0.2208,0.011767290804843426,0.18502029567363878
Gene_0318,100.74,0.4862,0.2744,0.0037048140881999394,0.05806918633542225
Gene_0319,437.28,-0.1952,0.3251,0.05181946797466292,0.809679187104108
Gene_0320,231.96,0.1455,0.407,0.02020204697340312,0.31467362886920747
Gene_0321,13.51,0.8927,0.3195,0.0034115758204164293,0.05297477982013089
Gene_0322,1297.76,-1.2273,0.2824,0.031012104411887936,0.4800635357877389
Gene_0323,226.02,3.1386,0.2177,0.04222253153395637,0.651582276758586
Gene_0324,220.7,-1.509,0.2256,0.0002928296672206382,0.004505071803394434
Gene_0325,145.71,-1.8213,0.3216,0.008098330693711518,0.12420752597717051
Gene_0326,52.69,1.7372,0.3271,0.03128527807607029,0.47836816630076895
APC,229.43,2.9508,0.2778,0.0017183842765268742,0.02619488226412918
Gene_0328,384.21,0.9362,0.3905,0.015990627378621454,0.2430186531705388
Gene_0329,4.51,0.9425,0.3059,0.0003817644129849909,0.005784309287651377
Gene_0330,50.53,-0.0184,0.2514,0.13007863421182714,1.0
Gene_0331,89.13,2.5367,0.2345,0.006401349235418353,0.09640586197919206
Gene_0332,247.73,0.1137,0.2278,0.00843160572936657,0.12660068662712567
Gene_0333,1614.24,-1.0157,0.348,0.010669608302094614,0.1597246751810571
Gene_0334,31.71,1.4627,0.2379,4.130409720981686e-05,0.0006164790628330874
Gene_0335,54.82,-0.2206,0.3108,7.798024421313361e-05,0.0011604203007906787
Gene_0336,53.25,-1.2382,0.2152,0.04080483787287884,0.6054130248201608
Gene_0337,29.87,-0.4821,0.2833,0.06824228375617461,1.0
Gene_0338,74.12,0.6194,0.2945,0.0974505988945515,1.0
Gene_0339,693.4,-0.8456,0.5364,8.232088755128064e-06,0.0001210601287518833
Gene_0340,18.04,-1.2333,0.1693,0.00021379339887469786,0.0031348005700102322
Gene_0341,349.19,0.3655,0.3809,0.00144701941446295,0.02115525459741155
Gene_0342,4.93,0.3674,0.2231,0.12705595126179342,1.0
Gene_0343,48.29,-0.7604,0.435,1.1497741524526725e-10,1.6711833611230704e-09
Gene_0344,76.79,-0.7066,0.2302,0.23010115855978958,1.0
Gene_0345,4228.99,0.3481,0.4036,0.4221120722383385,1.0
Gene_0346,85.66,-2.1721,0.3222,0.17227645677413905,1.0
Gene_0347,1.82,-2.1112,0.1669,2.768772372928665e-06,3.9781212254722205e-05
Gene_0348,2.72,-1.0777,0.3199,0.22422751811247849,1.0
Gene_0349,158.87,-0.3202,0.3516,0.0002359762494320864,0.003371089277601234
Gene_0350,506.51,0.4664,0.3588,0.13167698649544823,1.0
Gene_0351,314.48,2.213,0.2763,0.5449525300687544,1.0
Gene_0352,207.5,1.2865,0.5595,0.006925738483117594,0.09809827879769963
Gene_0353,1517.04,-0.2399,0.4946,0.0006947939052499871,0.009813473237994167
Gene_0354,50.44,-0.0285,0.3338,0.026084396088734602,0.3673858604047127
Gene_0355,888.75,-1.5038,0.1684,0.02076243590459455,0.2916072458510471
Gene_0356,5.67,-0.0278,0.2,7.162930853074186e-08,1.0032116040720149e-06
Gene_0357,24.29,-0.433,0.2731,0.04395994055063849,0.6139656501485822
Gene_0358,4.0,0.4841,0.2904,0.0007187804741771805,0.010010870113888307
Gene_0359,85.65,-1.2408,0.2174,0.00047924659910486816,0.00665620276534539
Gene_0360,135.3,0.779,0.2456,0.013691500895792911,0.1896329763960237
Gene_0361,186.46,2.2991,0.1011,0.05535557760855429,0.7645798012231255
Gene_0362,167.97,-0.1631,0.0839,0.09010359625549066,1.0
Gene_0363,23.22,0.6026,0.3014,0.004293358128843072,0.05897469957202022
Gene_0364,101.45,1.0352,0.4592,0.3990729240585945,1.0
